sigla_tribunal,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
TRE-MS,115.7895,141.7859,0.0,0.0,21.2121
TRE-PR,92.5408,142.0799,0.0,0.0,24.2718
TRE-RO,89.6907,141.8808,0.0,50.0,21.6667
TRE-CE,79.4118,142.1039,0.0,0.0,7.9295
TRE-SP,78.4335,137.3611,18.1818,0.0,20.7765
TRE-BA,71.4022,142.1478,33.3333,0.0,13.9738
TRE-AC,68.8525,141.1136,0.0,0.0,16.6667
TRE-ES,67.7871,138.2799,0.0,0.0,11.7647
TRE-MA,61.4943,141.0693,66.6667,0.0,16.7883
TRE-SE,58.4211,139.1919,0.0,0.0,12.3288
