municipio_oj,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
ALAGOINHAS,0.0,142.8571,0.0,0.0,0.0
AMARGOSA,0.0,142.8571,0.0,0.0,0.0
ANAGE,0.0,140.2597,0.0,0.0,0.0
ANDARAI,0.0,142.8571,0.0,0.0,0.0
ARACI,0.0,139.8337,0.0,0.0,0.0
BAIANÓPOLIS,200.0,141.9698,0.0,0.0,0.0
BARRA DA ESTIVA,0.0,142.8571,0.0,0.0,0.0
BARRA DO CHOCA,0.0,142.8571,0.0,0.0,0.0
BARRA DO MENDES,0.0,142.8571,0.0,0.0,0.0
BARREIRAS,0.0,141.783,0.0,0.0,0.0
BELMONTE,100.0,142.8571,0.0,0.0,0.0
BOM JESUS DA LAPA,0.0,142.2333,0.0,0.0,0.0
BRUMADO,0.0,138.8571,0.0,0.0,0.0
BUERAREMA,0.0,142.8571,0.0,0.0,0.0
CACHOEIRA,180.0,142.8571,0.0,0.0,0.0
CACULE,50.0,142.8571,0.0,0.0,0.0
CAETITE,0.0,142.8571,0.0,0.0,0.0
CAMACAN,0.0,142.8571,0.0,0.0,0.0
CAMACARI,60.0,142.0385,0.0,0.0,0.0
CAMAMU,0.0,142.8571,0.0,0.0,0.0
CAMPO FORMOSO,0.0,142.8571,0.0,0.0,0.0
CANARANA,0.0,142.3506,0.0,0.0,0.0
CANAVIEIRAS,0.0,142.8571,0.0,0.0,0.0
CANDEIAS,10.0,139.2857,0.0,0.0,8.3333
CAPIM GROSSO,75.0,140.1447,0.0,0.0,0.0
CARINHANHA,0.0,142.1499,0.0,0.0,0.0
CASA NOVA,0.0,141.7411,0.0,0.0,0.0
CASTRO ALVES,0.0,142.8571,0.0,0.0,0.0
CATU,75.0,140.4255,0.0,0.0,0.0
CENTRAL,0.0,142.8571,0.0,0.0,0.0
CHORROCHO,200.0,142.8571,0.0,0.0,0.0
CICERO DANTAS,300.0,142.8571,0.0,0.0,0.0
COARACI,175.0,142.8571,0.0,0.0,0.0
CONCEICAO DO COITE,0.0,142.8571,0.0,0.0,0.0
CONCEICAO DO JACUIPE,100.0,142.8571,0.0,0.0,0.0
CONDEUBA,0.0,142.8571,0.0,0.0,0.0
CORACAO DE MARIA,300.0,142.8571,0.0,0.0,0.0
CORIBE,0.0,142.8571,0.0,0.0,0.0
CORRENTINA,0.0,142.8571,0.0,0.0,0.0
COTEGIPE,100.0,142.8571,0.0,0.0,0.0
CRUZ DAS ALMAS,0.0,142.8571,0.0,0.0,0.0
CURACA,0.0,142.8571,0.0,0.0,0.0
DIAS DAVILA,0.0,141.4141,0.0,0.0,0.0
ENCRUZILHADA,0.0,142.8571,0.0,0.0,0.0
ENTRE RIOS,0.0,142.8571,0.0,0.0,0.0
ESPLANADA,0.0,142.8571,0.0,0.0,0.0
EUCLIDES DA CUNHA,100.0,114.2857,0.0,0.0,0.0
EUNAPOLIS,6.6667,142.0068,0.0,0.0,0.0
FEIRA DE SANTANA,200.0,140.669,0.0,0.0,62.5
FORMOSA DO RIO PRETO,0.0,142.8571,0.0,0.0,0.0
GANDU,0.0,142.8571,0.0,0.0,0.0
GUANAMBI,0.0,142.8571,0.0,0.0,0.0
IACU,0.0,140.5024,0.0,0.0,0.0
IBICARAI,50.0,142.8571,0.0,0.0,0.0
IBOTIRAMA,0.0,141.7666,0.0,0.0,0.0
IGAPORA,100.0,142.8571,0.0,0.0,0.0
IGUAI,0.0,142.8571,0.0,0.0,0.0
ILHEUS,100.0,137.7551,0.0,0.0,6.6667
INHAMBUPE,100.0,142.8571,0.0,0.0,0.0
IPIAU,80.0,141.1411,0.0,0.0,0.0
IPIRA,100.0,141.604,0.0,0.0,0.0
IRARA,23.5294,142.8571,0.0,0.0,0.0
IRECE,0.0,141.779,0.0,0.0,0.0
ITABELA,0.0,142.8571,0.0,0.0,0.0
ITABERABA,66.6667,140.4562,0.0,0.0,0.0
ITABUNA,250.0,142.1785,0.0,0.0,0.0
ITAGIBA,200.0,142.8571,0.0,0.0,0.0
ITAJUIPE,0.0,142.8571,0.0,0.0,0.0
ITAMARAJU,0.0,141.6617,0.0,0.0,0.0
ITAMBE,100.0,142.8571,0.0,0.0,0.0
ITANHEM,0.0,141.8294,0.0,0.0,0.0
ITAPETINGA,0.0,142.0932,0.0,0.0,0.0
ITARANTIM,300.0,142.8571,0.0,0.0,0.0
ITIUBA,200.0,142.8571,0.0,0.0,0.0
ITUACU,0.0,142.8571,0.0,0.0,0.0
ITUBERA,0.0,142.8571,0.0,0.0,0.0
JACARACI,0.0,142.8571,0.0,0.0,0.0
JACOBINA,75.0,141.1565,0.0,0.0,0.0
JAGUAQUARA,40.0,142.8571,0.0,0.0,0.0
JAGUARARI,0.0,142.8571,0.0,0.0,0.0
JEQUIE,22.2222,142.3963,0.0,0.0,0.0
JEREMOABO,0.0,142.8571,0.0,0.0,0.0
JUAZEIRO,100.0,142.8571,0.0,0.0,0.0
LAPAO,0.0,142.8571,0.0,0.0,0.0
LAURO DE FREITAS,200.0,142.8571,0.0,0.0,0.0
LENCOIS,0.0,142.8571,0.0,0.0,0.0
LIVRAMENTO DE NOSSA SENHORA,11.1111,142.8571,0.0,0.0,0.0
LUIS EDUARDO MAGALHÃES,100.0,142.8571,0.0,0.0,0.0
MACARANI,300.0,142.05,0.0,0.0,0.0
MACAUBAS,83.3333,137.5167,0.0,0.0,0.0
MARACAS,0.0,138.6306,0.0,0.0,0.0
MATA DE SAO JOAO,0.0,142.8571,0.0,0.0,0.0
MEDEIROS NETO,75.0,142.8571,0.0,0.0,0.0
MONTE SANTO,0.0,142.8571,0.0,0.0,0.0
MORRO DO CHAPEU,0.0,142.244,0.0,0.0,0.0
MUCURI,0.0,142.8571,0.0,0.0,0.0
MUNDO NOVO,0.0,142.8571,0.0,0.0,0.0
MURITIBA,0.0,142.8571,0.0,0.0,0.0
MUTUIPE,0.0,142.8571,0.0,0.0,0.0
NAZARE,0.0,142.8571,0.0,0.0,0.0
NOVA SOURE,450.0,137.987,0.0,0.0,33.3333
OLINDINA,40.0,142.8571,0.0,0.0,0.0
PALMAS DE MONTE ALTO,0.0,142.8571,0.0,0.0,0.0
PARAMIRIM,0.0,142.8571,0.0,0.0,0.0
PARIPIRANGA,0.0,142.8571,0.0,0.0,0.0
PAULO AFONSO,50.0,142.3745,0.0,0.0,50.0
PIATA,0.0,142.8571,0.0,0.0,0.0
POCOES,900.0,142.8571,0.0,0.0,0.0
PORTO SEGURO,0.0,141.8605,0.0,0.0,0.0
PRADO,0.0,130.9524,0.0,0.0,0.0
QUEIMADAS,92.3077,142.8571,0.0,0.0,0.0
REMANSO,100.0,142.8571,0.0,0.0,0.0
RETIROLANDIA,0.0,142.8571,0.0,0.0,0.0
RIACHAO DO JACUIPE,50.0,142.8571,0.0,0.0,0.0
RIACHO DE SANTANA,0.0,141.2151,0.0,0.0,0.0
RIBEIRA DO POMBAL,100.0,142.8571,0.0,0.0,0.0
RIO REAL,0.0,142.8571,0.0,0.0,0.0
RUY BARBOSA,66.6667,142.8571,0.0,0.0,50.0
SALVADOR,126.3158,140.7979,0.0,0.0,44.6809
SANTA BARBARA,57.1429,142.8571,0.0,0.0,0.0
SANTA RITA DE CASSIA,0.0,142.8571,0.0,0.0,0.0
SANTO AMARO,133.3333,142.8571,0.0,0.0,100.0
SANTO ANTONIO DE JESUS,0.0,142.4603,0.0,0.0,0.0
SANTO ESTEVAO,33.3333,142.2902,0.0,0.0,0.0
SAO DESIDERIO,0.0,142.8571,0.0,0.0,0.0
SAO FELIPE,33.3333,141.8853,0.0,0.0,0.0
SAO FRANCISCO DO CONDE,0.0,142.1092,0.0,0.0,0.0
SAO SEBASTIAO DO PASSE,8.3333,142.8571,0.0,0.0,0.0
SAUDE,0.0,142.8571,0.0,0.0,0.0
SEABRA,0.0,142.8571,0.0,0.0,0.0
SENHOR DO BONFIM,116.6667,141.6465,0.0,0.0,0.0
SENTO SE,0.0,142.8571,0.0,0.0,0.0
SERRA DOURADA,150.0,142.8571,0.0,0.0,0.0
SERRINHA,0.0,140.838,0.0,0.0,0.0
SIMOES FILHO,0.0,142.8571,0.0,0.0,0.0
TEIXEIRA DE FREITAS,83.3333,142.8571,0.0,0.0,0.0
TREMEDAL,0.0,142.8571,0.0,0.0,0.0
TUCANO,100.0,142.8571,0.0,0.0,0.0
UAUA,0.0,142.8571,0.0,0.0,0.0
UBAIRA,0.0,142.8571,0.0,0.0,0.0
UBAITABA,33.3333,142.8571,0.0,0.0,0.0
UBATA,600.0,141.0602,0.0,0.0,0.0
URANDI,50.0,116.8831,0.0,0.0,0.0
URUCUCA,66.6667,142.8571,100.0,0.0,0.0
UTINGA,0.0,142.8571,0.0,0.0,0.0
VALENCA,14.2857,140.4018,0.0,0.0,0.0
VITORIA DA CONQUISTA,30.0,142.4832,0.0,0.0,0.0
WENCESLAU GUIMARAES,0.0,142.8571,0.0,0.0,0.0
XIQUE-XIQUE,0.0,141.7234,0.0,0.0,0.0
BARRA,0.0,142.8571,0.0,0.0,0.0
ITAPARICA,0.0,142.8571,0.0,0.0,0.0
ITORORO,0.0,142.8571,0.0,0.0,0.0
JOAO DOURADO,0.0,142.8571,0.0,0.0,0.0
MAIRI,0.0,140.3941,0.0,0.0,0.0
MIGUEL CALMON,0.0,142.8571,0.0,0.0,0.0
OLIVEIRA DOS BREJINHOS,8.6957,141.6765,0.0,0.0,0.0
PILAO ARCADO,0.0,142.8571,0.0,0.0,0.0
POJUCA,0.0,142.8571,0.0,0.0,0.0
RIACHAO DAS NEVES,0.0,142.8571,0.0,0.0,0.0
SANTA MARIA DA VITORIA,0.0,141.8787,0.0,0.0,0.0
SANTA TEREZINHA,250.0,142.8571,0.0,0.0,0.0
SANTALUZ,0.0,142.8571,0.0,0.0,0.0
SAO GONCALO DOS CAMPOS,0.0,142.4332,0.0,0.0,0.0
VALENTE,66.6667,142.8571,0.0,0.0,0.0
ACARAÚ,0.0,142.8571,0.0,0.0,0.0
ACOPIARA,0.0,142.8571,0.0,0.0,0.0
AIUABA,0.0,142.8571,0.0,0.0,0.0
ALTO SANTO,0.0,142.8571,0.0,0.0,0.0
AMONTADA,0.0,142.8571,0.0,0.0,0.0
AQUIRAZ,0.0,142.8571,0.0,0.0,0.0
ARACATI,0.0,140.9091,0.0,0.0,33.3333
ARACOIABA,33.3333,142.8571,0.0,0.0,0.0
ARARIPE,0.0,142.8571,0.0,0.0,0.0
ASSARE,0.0,131.8681,0.0,0.0,0.0
AURORA,50.0,142.8571,0.0,0.0,0.0
BARBALHA,100.0,142.8571,0.0,0.0,0.0
BARRO,300.0,141.5701,0.0,0.0,0.0
BATURITE,0.0,142.4731,0.0,0.0,0.0
BEBERIBE,0.0,142.8571,0.0,0.0,0.0
BELA CRUZ,0.0,142.8571,0.0,0.0,0.0
BOA VIAGEM,0.0,142.8571,0.0,0.0,0.0
BREJO SANTO,0.0,142.8571,0.0,0.0,0.0
CAMOCIM,0.0,142.8571,0.0,0.0,0.0
CAMPOS SALES,0.0,142.8571,0.0,0.0,100.0
CANINDE,0.0,140.1786,0.0,0.0,0.0
CAPISTRANO,25.0,142.8571,0.0,0.0,0.0
CARIDADE,0.0,142.8571,0.0,0.0,0.0
CARIRE,0.0,142.8571,0.0,0.0,0.0
CARIRIACU,0.0,142.8571,0.0,0.0,0.0
CASCAVEL,25.0,142.623,0.0,0.0,0.0
CAUCAIA,100.0,142.1053,0.0,0.0,0.0
CHAVAL,0.0,139.5349,0.0,0.0,0.0
COREAÚ,0.0,137.1429,0.0,0.0,0.0
CRATEUS,0.0,142.8571,0.0,0.0,0.0
CRATO,0.0,138.7363,0.0,0.0,0.0
EUSEBIO,0.0,141.0935,0.0,0.0,0.0
FORTALEZA,60.4167,141.4268,0.0,0.0,14.9425
GRANJA,0.0,142.8571,0.0,0.0,0.0
GUARACIABA DO NORTE,0.0,142.8571,0.0,0.0,0.0
HORIZONTE,0.0,142.2136,0.0,0.0,0.0
IBIAPINA,0.0,140.0,0.0,0.0,0.0
ICO,0.0,142.8571,0.0,0.0,0.0
IGUATU,0.0,142.316,0.0,0.0,0.0
INDEPENDENCIA,0.0,142.8571,0.0,0.0,0.0
IPU,57.1429,140.1869,0.0,0.0,0.0
IPUEIRAS,0.0,142.8571,0.0,0.0,0.0
ITAPAGE,1350.0,141.5344,0.0,0.0,0.0
ITAPIPOCA,0.0,142.8571,0.0,0.0,0.0
ITAREMA,0.0,142.8571,0.0,0.0,0.0
JAGUARETAMA,0.0,142.8571,0.0,0.0,0.0
JAGUARIBE,0.0,142.8571,0.0,0.0,0.0
JAGUARUANA,0.0,140.056,0.0,0.0,0.0
JUAZEIRO DO NORTE,0.0,142.8571,0.0,0.0,0.0
JUCAS,0.0,141.604,0.0,0.0,0.0
LAVRAS DA MANGABEIRA,0.0,138.8889,0.0,0.0,0.0
LIMOEIRO DO NORTE,0.0,142.8571,0.0,0.0,0.0
MARACANAU,0.0,142.1464,0.0,0.0,0.0
MARANGUAPE,200.0,142.3077,0.0,0.0,0.0
MASSAPE,33.3333,142.8571,0.0,0.0,0.0
MAURITI,0.0,140.4358,0.0,0.0,0.0
MILAGRES,0.0,142.8571,0.0,0.0,0.0
MISSAO VELHA,0.0,142.8571,0.0,0.0,0.0
MOMBACA,0.0,142.8571,0.0,0.0,0.0
MORADA NOVA,0.0,142.8571,0.0,0.0,0.0
NOVA OLINDA,0.0,142.8571,0.0,0.0,0.0
NOVA RUSSAS,0.0,140.9266,0.0,0.0,0.0
NOVO ORIENTE,0.0,142.8571,0.0,0.0,0.0
PACAJUS,0.0,142.8571,0.0,0.0,0.0
PACATUBA,0.0,142.8571,0.0,0.0,0.0
PARACURU,0.0,142.8571,0.0,0.0,0.0
PEDRA BRANCA,0.0,142.8571,0.0,0.0,0.0
PENTECOSTE,150.0,141.1043,0.0,0.0,0.0
QUIXADA,36.3636,139.6825,0.0,0.0,0.0
QUIXERAMOBIM,0.0,142.8571,0.0,0.0,0.0
REDENCAO,8.3333,142.3098,0.0,0.0,0.0
RERIUTABA,400.0,142.8571,0.0,0.0,0.0
RUSSAS,0.0,142.8571,0.0,0.0,0.0
SANTA QUITERIA,0.0,141.1765,0.0,0.0,0.0
SANTANA DO ACARAU,0.0,142.8571,0.0,0.0,0.0
SAO BENEDITO,0.0,142.8571,0.0,0.0,0.0
SAO GONCALO DO AMARANTE,10.7143,142.4841,0.0,0.0,0.0
SENADOR POMPEU,0.0,142.8571,0.0,0.0,0.0
SOBRAL,400.0,142.3098,0.0,0.0,33.3333
SOLONOPOLE,0.0,142.8571,0.0,0.0,0.0
TABULEIRO DO NORTE,0.0,142.8571,0.0,0.0,0.0
TAUA,0.0,142.8571,0.0,0.0,0.0
TIANGUA,0.0,142.8571,0.0,0.0,0.0
TRAIRI,0.0,142.8571,0.0,0.0,0.0
URUBURETAMA,0.0,142.0118,0.0,0.0,0.0
VARZEA ALEGRE,0.0,142.8571,0.0,0.0,0.0
TAMBORIL,100.0,142.8571,0.0,0.0,0.0
VICOSA DO CEARA,0.0,142.8571,0.0,0.0,0.0
BRASÍLIA,18.4211,105.2632,0.0,0.0,0.0
CEILANDIA,0.0,142.8571,0.0,0.0,0.0
CRUZEIRO,30.0,141.783,0.0,0.0,0.0
GAMA,0.0,142.8571,0.0,0.0,0.0
GUARA,0.0,95.2381,0.0,0.0,0.0
LAGO SUL,0.0,0.0,0.0,0.0,0.0
NÚCLEO BANDEIRANTE,0.0,0.0,0.0,0.0,0.0
PARANOÁ,0.0,0.0,0.0,0.0,0.0
PLANALTINA,33.3333,141.2214,0.0,0.0,0.0
RECANTO DAS EMAS,0.0,107.1429,0.0,0.0,0.0
SAMAMBAIA,0.0,142.8571,0.0,0.0,0.0
SANTA MARIA,57.1429,141.8616,0.0,0.0,0.0
SOBRADINHO,55.5556,141.0935,0.0,0.0,0.0
TAGUATINGA,66.6667,142.8571,0.0,0.0,0.0
ÁGUAS CLARAS,0.0,142.8571,0.0,0.0,0.0
AFONSO CLAUDIO,600.0,141.791,0.0,0.0,0.0
ALEGRE,0.0,142.8571,0.0,0.0,0.0
ALFREDO CHAVES,0.0,133.3705,0.0,0.0,0.0
ANCHIETA,60.0,129.8701,0.0,0.0,0.0
ARACRUZ,14.2857,140.2692,0.0,0.0,0.0
BAIXO GUANDU,225.0,142.8571,0.0,0.0,0.0
BARRA DE SAO FRANCISCO,22.7273,142.0679,0.0,0.0,0.0
BOM JESUS DO NORTE,0.0,116.5312,0.0,0.0,0.0
CACHOEIRO DE ITAPEMIRIM,400.0,141.5584,0.0,0.0,37.5
CARIACICA,25.0,141.5465,0.0,0.0,0.0
CASTELO,0.0,142.8571,0.0,0.0,0.0
COLATINA,600.0,142.2018,0.0,0.0,100.0
CONCEICAO DA BARRA,0.0,142.8571,0.0,0.0,0.0
DOMINGOS MARTINS,0.0,142.8571,0.0,0.0,0.0
GUACUI,66.6667,139.2313,0.0,0.0,0.0
GUARAPARI,133.3333,142.8571,0.0,0.0,30.0
IBATIBA,100.0,142.8571,0.0,0.0,25.0
IBIRACU,0.0,139.1412,0.0,0.0,0.0
ICONHA,750.0,142.8571,0.0,0.0,0.0
ITAGUACU,100.0,142.8571,0.0,0.0,0.0
ITAPEMIRIM,0.0,141.9355,0.0,0.0,0.0
IUNA,0.0,142.8571,0.0,0.0,0.0
JAGUARE,0.0,142.244,0.0,0.0,0.0
LINHARES,0.0,141.5282,0.0,0.0,0.0
MARATAIZES,300.0,138.4784,0.0,0.0,0.0
MIMOSO DO SUL,1300.0,142.8571,0.0,0.0,0.0
MONTANHA,150.0,142.4307,0.0,0.0,66.6667
MUNIZ FREIRE,0.0,116.8831,0.0,0.0,0.0
NOVA VENECIA,0.0,124.446,0.0,0.0,0.0
PANCAS,1900.0,142.8571,0.0,0.0,0.0
PINHEIROS,0.0,138.833,0.0,0.0,0.0
RIO BANANAL,600.0,142.8571,0.0,0.0,0.0
SANTA LEOPOLDINA,113.6364,127.7851,0.0,0.0,0.0
SANTA TERESA,0.0,142.8571,0.0,0.0,0.0
SAO GABRIEL DA PALHA,62.5,142.2925,0.0,0.0,0.0
SAO MATEUS,0.0,142.8571,0.0,0.0,33.3333
SERRA,39.1304,138.0808,0.0,0.0,5.5556
VENDA NOVA DO IMIGRANTE,4.1667,142.8571,0.0,0.0,0.0
VIANA,0.0,142.029,0.0,0.0,0.0
VILA VELHA,0.0,140.8638,0.0,0.0,20.0
VITORIA,51.6667,135.2095,0.0,0.0,2.439
ÁGUIA BRANCA,1300.0,142.8571,0.0,0.0,0.0
ECOPORANGA,0.0,141.6957,0.0,0.0,0.0
ACREÚNA,0.0,142.8571,0.0,0.0,0.0
AGUAS LINDAS DE GOIAS,75.0,142.8571,0.0,0.0,0.0
ALEXÂNIA,60.0,141.7497,0.0,0.0,0.0
ALTO PARAISO DE GOIAS,0.0,142.8571,0.0,0.0,0.0
ALVORADA DO NORTE,120.0,142.8571,0.0,0.0,0.0
ANAPOLIS,75.0,142.2914,0.0,0.0,0.0
ANICUNS,6.25,139.4958,0.0,0.0,16.6667
APARECIDA DE GOIANIA,50.0,140.2702,0.0,0.0,0.0
ARAGARCAS,0.0,139.7516,0.0,0.0,0.0
BELA VISTA DE GOIAS,0.0,142.8571,0.0,0.0,0.0
BOM JESUS DE GOIAS,0.0,141.4566,0.0,0.0,0.0
BURITI ALEGRE,0.0,130.7847,0.0,0.0,0.0
CACHOEIRA ALTA,0.0,142.8571,0.0,0.0,0.0
CACU,0.0,142.8571,0.0,0.0,0.0
CAIAPONIA,100.0,142.8571,0.0,0.0,0.0
CALDAS NOVAS,33.3333,142.3559,0.0,0.0,0.0
CAMPOS BELOS,0.0,142.8571,0.0,0.0,0.0
CATALAO,0.0,142.8571,0.0,0.0,0.0
CAVALCANTE,60.0,142.8571,0.0,0.0,0.0
CERES,0.0,140.4762,0.0,0.0,0.0
CIDADE OCIDENTAL,100.0,140.8867,0.0,0.0,0.0
CRISTALINA,66.6667,142.0118,0.0,0.0,0.0
CRIXAS,162.5,135.989,0.0,0.0,0.0
EDEIA,85.7143,141.8367,0.0,0.0,0.0
FAZENDA NOVA,7.6923,141.9111,0.0,0.0,0.0
FIRMINOPOLIS,18.1818,139.5918,0.0,0.0,0.0
FORMOSA,133.3333,142.8571,0.0,0.0,0.0
FORMOSO,50.0,142.8571,0.0,0.0,0.0
GOIANESIA,7.6923,142.3963,0.0,0.0,0.0
GOIANIA,79.0323,140.279,0.0,0.0,36.5854
GOIANIRA,120.0,142.432,0.0,0.0,0.0
GOIATUBA,0.0,126.9841,0.0,0.0,0.0
GOIÁS,0.0,142.8571,0.0,0.0,0.0
GUAPO,0.0,139.2633,0.0,0.0,0.0
INHUMAS,0.0,140.8221,0.0,0.0,0.0
IPAMERI,0.0,142.8571,0.0,0.0,0.0
IPORA,100.0,141.9671,0.0,0.0,100.0
ITABERAI,11.7647,141.4966,0.0,0.0,0.0
ITAJA,50.0,142.8571,0.0,0.0,0.0
ITAPACI,33.3333,137.1429,0.0,0.0,0.0
ITAPURANGA,142.8571,140.2479,20.0,0.0,0.0
ITAUCU,0.0,136.9863,0.0,0.0,0.0
ITUMBIARA,200.0,142.8571,0.0,0.0,0.0
JARAGUA,0.0,142.8571,0.0,0.0,0.0
JATAI,80.0,142.8571,0.0,0.0,100.0
JUSSARA,14.2857,137.5986,0.0,0.0,0.0
LUZIANIA,20.0,140.4696,0.0,0.0,0.0
